         112233066 function calls (106230738 primitive calls) in 96.171 seconds

   Ordered by: cumulative time
   List reduced from 588 to 59 due to restriction <0.1>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.124    0.124   96.171   96.171 process.py:32(process)
       10    0.053    0.005   86.435    8.644 process.py:58(transform_data)
       20    0.140    0.007   84.466    4.223 /Users/rjewing/.pyenv/versions/pheno_paper/lib/python2.7/site-packages/pandas/core/frame.py:4257(apply)
       20    0.001    0.000   84.326    4.216 /Users/rjewing/.pyenv/versions/pheno_paper/lib/python2.7/site-packages/pandas/core/frame.py:4390(_apply_standard)
       20    8.102    0.405   83.497    4.175 {pandas._libs.lib.reduce}
  1000000    2.007    0.000   41.554    0.000 process.py:69(<lambda>)
  2000000    3.067    0.000   36.205    0.000 /Users/rjewing/.pyenv/versions/pheno_paper/lib/python2.7/site-packages/pandas/core/series.py:598(__getitem__)
  2000000    5.641    0.000   31.954    0.000 /Users/rjewing/.pyenv/versions/pheno_paper/lib/python2.7/site-packages/pandas/core/indexes/base.py:2405(get_value)
  1000000    0.478    0.000   18.173    0.000 process.py:67(<lambda>)
  1000000    1.326    0.000   17.696    0.000 /Users/rjewing/.pyenv/versions/2.7.11/lib/python2.7/uuid.py:582(uuid4)
  1000000   10.610    0.000   12.816    0.000 /Users/rjewing/.pyenv/versions/2.7.11/lib/python2.7/uuid.py:103(__init__)
  2000104    3.722    0.000   12.459    0.000 /Users/rjewing/.pyenv/versions/pheno_paper/lib/python2.7/site-packages/pandas/core/series.py:284(_set_axis)
       10    0.000    0.000    8.224    0.822 /Users/rjewing/.pyenv/versions/pheno_paper/lib/python2.7/site-packages/pandas/core/frame.py:1333(to_csv)
       10    0.000    0.000    8.104    0.810 /Users/rjewing/.pyenv/versions/pheno_paper/lib/python2.7/site-packages/pandas/io/formats/format.py:1560(save)
       10    0.002    0.000    8.104    0.810 /Users/rjewing/.pyenv/versions/pheno_paper/lib/python2.7/site-packages/pandas/io/formats/format.py:1668(_save)
      160    0.040    0.000    8.102    0.051 /Users/rjewing/.pyenv/versions/pheno_paper/lib/python2.7/site-packages/pandas/io/formats/format.py:1686(_save_chunk)
  4000586    2.286    0.000    7.716    0.000 {pandas._libs.lib.values_from_object}
  2000000    2.414    0.000    6.675    0.000 /Users/rjewing/.pyenv/versions/pheno_paper/lib/python2.7/site-packages/pandas/core/indexes/base.py:1253(_convert_scalar_indexer)
      160    5.279    0.033    6.563    0.041 {pandas._libs.lib.write_csv_rows}
  2000010    2.165    0.000    6.511    0.000 /Users/rjewing/.pyenv/versions/pheno_paper/lib/python2.7/site-packages/pandas/core/internals.py:2828(set_axis)
6009329/6009319    2.784    0.000    6.017    0.000 {getattr}
  2000000    0.919    0.000    5.429    0.000 /Users/rjewing/.pyenv/versions/pheno_paper/lib/python2.7/site-packages/pandas/core/series.py:389(get_values)
13016091/7013847    3.322    0.000    5.256    0.000 {len}
  2000000    2.288    0.000    4.510    0.000 /Users/rjewing/.pyenv/versions/pheno_paper/lib/python2.7/site-packages/pandas/core/internals.py:4224(get_values)
  2000000    1.165    0.000    3.687    0.000 /Users/rjewing/.pyenv/versions/pheno_paper/lib/python2.7/site-packages/pandas/core/series.py:331(dtype)
  1000000    3.553    0.000    3.553    0.000 {posix.urandom}
  8055868    2.313    0.000    3.479    0.000 {isinstance}
  1000000    0.822    0.000    3.342    0.000 /Users/rjewing/.pyenv/versions/pheno_paper/lib/python2.7/re.py:148(sub)
  2000100    0.940    0.000    3.233    0.000 /Users/rjewing/.pyenv/versions/pheno_paper/lib/python2.7/site-packages/pandas/core/series.py:384(_values)
  2000104    1.658    0.000    2.742    0.000 /Users/rjewing/.pyenv/versions/pheno_paper/lib/python2.7/site-packages/pandas/core/series.py:324(name)
  6002114    1.933    0.000    2.535    0.000 /Users/rjewing/.pyenv/versions/pheno_paper/lib/python2.7/site-packages/pandas/core/indexes/base.py:528(__len__)
  2000000    1.654    0.000    2.521    0.000 /Users/rjewing/.pyenv/versions/pheno_paper/lib/python2.7/site-packages/pandas/core/internals.py:4194(dtype)
  2000100    1.552    0.000    2.293    0.000 /Users/rjewing/.pyenv/versions/pheno_paper/lib/python2.7/site-packages/pandas/core/internals.py:4221(internal_values)
  4000782    1.548    0.000    2.073    0.000 /Users/rjewing/.pyenv/versions/pheno_paper/lib/python2.7/site-packages/pandas/core/indexes/base.py:3950(_ensure_index)
  1000000    1.889    0.000    1.889    0.000 {map}
  2000000    1.847    0.000    1.847    0.000 {method 'get_value' of 'pandas._libs.index.IndexEngine' objects}
  1000000    1.607    0.000    1.607    0.000 {method 'sub' of '_sre.SRE_Pattern' objects}
