field,defined_by
Increasing leaf size,{expanding leaf presence}
Breaking leaf buds,{breaking bud presence}
Emerging needles,{breaking bud presence}
Initial growth,{new above-ground shoot-borne shoot system presence}
Leaves,{leaf presence}
Open pollen cones,{open pollen cone presence}
Breaking needle buds,{breaking bud presence}
Falling leaves,{senescent leaf presence}
Young leaves,{expanding leaf presence}
Young needles,{expanding leaf presence}
Colored leaves,{senescent leaf presence}
Open flowers,{open flower presence}
