spreadsheet sheet name,spreadsheet column name,internal uri,datatype,dataformat,defined by,displayAnnotationProperty,definition,entity alias,notes
Samples,observation_id,http://rs.tdwg.org/dwc/terms/EventID,integer,,,,Record Identifier,phenologicalObservingProcess,adding wholePlant to observation_id means each observation assumes it is a new plant but since plant ids are not created only thing we can do.
Samples,LAT,http://rs.tdwg.org/dwc/terms/decimalLatitude,float,,,,Decimal Latitude,phenologicalObservingProcess,each column can contain multiple entity aliases where it can appear.  Use comma seperation 
Samples,LON,http://rs.tdwg.org/dwc/terms/decimalLongitude,float,,,,Decimal Longitude,phenologicalObservingProcess,
Samples,ALT,http://rs.tdwg.org/dwc/terms/minimumElevationInMeters,string,,,,Minimum Elevation In Meters,phenologicalObservingProcess,
Samples,NAME,http://rs.tdwg.org/dwc/terms/location,string,,,,Location name,phenologicalObservingProcess,
Samples,scientificname,http://rs.tdwg.org/dwc/terms/scientificName,string,,,,Scientific Name,wholePlant,
Samples,genus,http://rs.tdwg.org/dwc/terms/genus,string,,,,Common Name,wholePlant,
Samples,specificEpithet,http://rs.tdwg.org/dwc/terms/specificEpithet,string,,,,Specific Epithet,wholePlant,
Samples,description,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,string,,,false,Whole plant phenological stage,plantStructurePresence,"Using rdf:type indicates the values will be object properties, in this case defined by a list association in rules.csv."
Samples,YEAR,http://rs.tdwg.org/dwc/terms/year,integer,,,,The year the observation took place,phenologicalObservingProcess,
Samples,DAY,http://rs.tdwg.org/dwc/terms/startDayOfYear,integer,,,,Day of year the observation took place,phenologicalObservingProcess,
Samples,lower_count,{lower count},integer,,,,The lower value of an intensity value range,measurementDatum,
Samples,upper_count,{upper count},integer,,,,The upper value of an intensity value range,measurementDatum,
Samples,Source,http://purl.org/dc/elements/1.1/creator,string,,,,Dataset Source,phenologicalObservingProcess,
