spreadsheet sheet name,spreadsheet column name,internal uri,datatype,dataformat,defined by,displayAnnotationProperty,definition,entity alias,notes
Samples,Observation_ID,http://rs.tdwg.org/dwc/terms/EventID,integer,,,,Record Identifier,plantStructurePresence,
Samples,Individual_ID,http://rs.tdwg.org/dwc/terms/materialSampleID,integer,,,,Individual Plant Identifier,plantStructurePresence,This will be mapped to {organism virus or viroid in the ontology}
Samples,Latitude,http://rs.tdwg.org/dwc/terms/decimalLatitude,float,,,,Decimal Latitude,plantStructurePresence,each column can contain multiple entity aliases where it can appear.  Use comma seperation 
Samples,Longitude,http://rs.tdwg.org/dwc/terms/decimalLongitude,float,,,,Decimal Longitude,plantStructurePresence,
Samples,Species,http://rs.tdwg.org/dwc/terms/scientificName,string,,,,Scientific Name,plantStructurePresence,
Samples,Common_Name,http://rs.tdwg.org/dwc/terms/vernacularName,string,,,,Common Name,plantStructurePresence,
Samples,Phenophase_Description,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,string,,,,Whole plant phenological stage,plantStructurePresence,"Using rdf:type indicates the values will be object properties, in this case defined by a list association in rules.csv."
Samples,Observation_Date,http://rs.tdwg.org/dwc/terms/Event,date,YYYY-MM-DD,,,The date the observation took place,plantStructurePresence,
Samples,Day_of_Year,http://rs.tdwg.org/dwc/terms/startDayOfYear,integer,,,,Day of year the observation took place,plantStructurePresence,
Samples,lower_count,{lower count},integer,,,,The lower value of an intensity value range,plantStructurePresence,
Samples,upper_count,{upper count},integer,,,,The upper value of an intensity value range,plantStructurePresence,
Samples,lower_percent,{lower percent},float,,,,The lower percent of an intensity value range,plantStructurePresence,
Samples,upper_percent,{upper percent},float,,,,The upper percent of an intensity value range,plantStructurePresence,
