field,defined_by
>=75% of full leaf size (deciduous),{mature leaves present}
>=50% of leaves colored (deciduous),{senescent leaves present}
All leaves colored (deciduous),{senescent leaves present}
>=50% of leaves fallen (deciduous),{abscised leaves present}
All leaves fallen (deciduous),{abscised leaves present}
Full pollen release (angiosperms),{pollen-releasing flowers present}
Breaking leaf buds,{breaking buds present}
Ripe fruits,{ripening fruits present}
Increasing leaf size,{expanding leaves present}
Falling leaves,{senescent leaves present}
Leaves,{leaves present}
Colored leaves,{senescent leaves present}
Flowers or flower buds,{flowers present}
Open flowers,{open flowers present}
Pollen release (flowers),{pollen-releasing flowers present}
Recent fruit or seed drop,{abscised fruits or seeds present}
Fruits,{fruits present}
Full flowering (50%),{flowers present}
All leaves withered (herbaceous and grasses),{senescent leaves present}
Open flowers (1 location),{open flowers present}
Ripe fruits (1 location),{ripening fruits present}
Initial growth (forbs),{new above-ground shoot-borne shoot systems present}
Leaves (forbs),{leaves present}
>=75% of full leaf size (deciduous) absent,{mature leaves absent}
>=50% of leaves colored (deciduous) absent,{senescent leaves absent}
All leaves colored (deciduous) absent,{senescent leaves absent}
>=50% of leaves fallen (deciduous) absent,{abscised leaves absent}
All leaves fallen (deciduous) absent,{abscised leaves absent}
Full pollen release (angiosperms) absent,{pollen-releasing flowers absent}
Breaking leaf buds absent,{breaking buds absent}
Ripe fruits absent,{ripening fruits absent}
Increasing leaf size absent,{expanding leaves absent}
Falling leaves absent,{senescent leaves absent}
Leaves absent,{leaves absent}
Colored leaves absent,{senescent leaves absent}
Flowers or flower buds absent,{flowers absent}
Open flowers absent,{open flowers absent}
Pollen release (flowers) absent,{pollen-releasing flowers absent}
Recent fruit or seed drop absent,{abscised fruits or seeds absent}
Fruits absent,{fruits absent}
Full flowering (50%) absent,{flowers absent}
All leaves withered (herbaceous and grasses) absent,{senescent leaves absent}
Open flowers (1 location) absent,{open flowers absent}
Ripe fruits (1 location) absent,{ripening fruits absent}
Initial growth (forbs) absent,{new above-ground shoot-borne shoot systems absent}
Leaves (forbs) absent,{leaves absent}
