field,defined_by,notes
"10% of fruit have reached final size or fruit has reached 10% of final size, G: Caryopsis watery ripe",{ripening fruit presence},
"2 side shoots visible, G: 2 tillers visible",{mature leaf presence},
"2 true leaf, leaf pairs or whorls unfolded",{mature leaf presence},There might also be expanding leaf presence but we don't know.
20% of flower open,{open flower presence},
20% of fruit have reached final size or fruit has reached 20% of final size,{ripening fruit presence},
25% of the permanent grassland shows fresh green,{leaf presence},
"3 true leaf, leaf pairs or whorls unfolded",{mature leaf presence},There might also be expanding leaf presence but we don't know.
"30% of flower open, maize: male beginning of pollen shedding, female: tips of stigmata visible",{open flower presence},
"30% of fruit have reached final size or fruit has reached 30% of final size, G: Early milk",{ripening fruit presence},
"4 side shoots visible, G: 4 tillers visible",{mature leaf presence},
"4 true leaf, leaf pairs or whorls unfolded",{mature leaf presence},There might also be expanding leaf presence but we don't know.
40% of flower open,{open flower presence},
40% of fruit have reached final size or fruit has reached 40% of final size,{ripening fruit presence},
"5 side shoots visible, G: 5 tillers visible",{mature leaf presence},
"5 true leaf, leaf pairs or whorls unfolded",{mature leaf presence},There might also be expanding leaf presence but we don't know.
50 % autumnal leaf fall,{abscised leaf presence},
"50% of fruit have reached final size or fruit has reached 50% of final size, G: Milky ripe, medium milk",{ripening fruit presence},
50% of leaf fallen,{senescent leaf presence},
"6 side shoots visible, G: 6 tillers visible",{mature leaf presence},
"6 true leaf, leaf pairs or whorls unfolded",{mature leaf presence},There might also be expanding leaf presence but we don't know.
60% of fruit have reached final size or fruit has reached 60% of final size,{ripening fruit presence},
"7 side shoots visible, G: 7 tillers visible",{mature leaf presence},
"7 true leaf, leaf pairs or whorls unfolded",{mature leaf presence},There might also be expanding leaf presence but we don't know.
"70% of fruit have reached final size or fruit has reached 70% of final size, G: Late milk",{ripening fruit presence},
"8 side shoots visible, G: 8 tillers visible",{mature leaf presence},
"8 true leaf, leaf pairs or whorls unfolded",{mature leaf presence},There might also be expanding leaf presence but we don't know.
80% of fruit have reached final size or fruit has reached 80% of final size,{ripening fruit presence},
"9 or more side shoots visible, G: 9 or more tillers visible",{mature leaf presence},
"9 or more true leaf, leaf pairs or whorls unfolded",{mature leaf presence},There might also be expanding leaf presence but we don't know.
"Advanced ripening or fruit colouration, G: Soft dough stage",{ripening fruit presence},
Autumnal coloring of leaf (50%),{senescent leaf presence},
autumnal colouration: first discoloured leaf (sporadically),{senescent leaf presence},
autumnal colouration: leaf beginning of discolour (=>50%),{senescent leaf presence},
