spreadsheet sheet name,spreadsheet column name,internal uri,datatype,dataformat,defined by,displayAnnotationProperty,definition,entity alias,notes
Samples,record_id,http://rs.tdwg.org/dwc/terms/EventID,integer,,,,Record Identifier,"plantStructurePresence, phenologicalObservingProcess, measurementDatum, wholePlant",adding wholePlant to record_id means each observation assumes it is a new plant but since plant ids are not created only thing we can do.
Samples,LAT,http://rs.tdwg.org/dwc/terms/decimalLatitude,float,,,,Decimal Latitude,"phenologicalObservingProcess, plantStructurePresence, measurementDatum",each column can contain multiple entity aliases where it can appear.  Use comma seperation 
Samples,LON,http://rs.tdwg.org/dwc/terms/decimalLongitude,float,,,,Decimal Longitude,"phenologicalObservingProcess, plantStructurePresence, measurementDatum",
Samples,ALT,http://rs.tdwg.org/dwc/terms/minimumElevationInMeters,string,,,,Minimum Elevation In Meters,"phenologicalObservingProcess, plantStructurePresence, measurementDatum",
Samples,NAME,http://rs.tdwg.org/dwc/terms/location,string,,,,Location name,"phenologicalObservingProcess, plantStructurePresence, measurementDatum",
Samples,scientificname,http://rs.tdwg.org/dwc/terms/scientificName,string,,,,Scientific Name,"wholePlant",
Samples,genus,http://rs.tdwg.org/dwc/terms/genus,string,,,,Common Name,wholePlant,
Samples,description,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,string,,,,Whole plant phenological stage,plantStructurePresence,"Using rdf:type indicates the values will be object properties, in this case defined by a list association in rules.csv."
Samples,YEAR,http://rs.tdwg.org/dwc/terms/Event,date,YYYY,,,The date the observation took place,"phenologicalObservingProcess, plantStructurePresence, measurementDatum",
Samples,DAY,http://rs.tdwg.org/dwc/terms/startDayOfYear,integer,,,,Day of year the observation took place,"phenologicalObservingProcess, plantStructurePresence, measurementDatum",

